idx,Year,Player,Pos,School,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Height_inches,Probowl
180,2000.0,Mario Edwards,CB,Florida State,191.0,4.46,,,120.0,,,72.0,False
181,2000.0,Na'il Diggs,OLB,Ohio State,231.0,4.66,,,,,,76.0,False
182,2000.0,Jerry DeLoach,DT,California,314.0,4.99,31.5,19.0,101.0,7.4,4.57,75.0,False
183,2000.0,Dwayne Goodrich,CB,Tennessee,195.0,4.45,,,,,,71.0,False
184,2000.0,Deon Grant,SS,Tennessee,209.0,4.5,,15.0,,,,74.0,False
185,2000.0,Reggie Howard,CB,Memphis,190.0,4.55,,,,,,71.0,False
186,2000.0,Darren Howard,DE,Kansas State,281.0,5.09,29.0,,108.0,7.0,4.32,76.0,False
187,2000.0,Chris Hovan,DT,Boston College,305.0,4.99,30.0,35.0,101.0,6.85,4.16,74.0,False
188,2000.0,Lloyd Harrison,CB,North Carolina State,190.0,4.5,37.5,16.0,119.0,7.12,4.25,70.0,False
189,2000.0,Antwan Harris,CB,Virginia,186.0,4.34,39.0,16.0,121.0,6.75,4.01,69.0,False
190,2000.0,James Hall,DE,Michigan,271.0,5.03,32.0,,111.0,7.86,4.51,74.0,False
191,2000.0,Clark Haggans,OLB,Colorado State,253.0,4.97,31.5,20.0,109.0,7.12,4.21,75.0,False
192,2000.0,Cornelius Griffin,DE,Alabama,297.0,4.9,31.0,30.0,111.0,7.63,4.62,75.0,False
193,2000.0,Damian Gregory,DT,Illinois State,307.0,4.87,30.0,27.0,105.0,7.37,4.6,74.0,False
194,2000.0,Barrett Green,OLB,West Virginia,233.0,4.56,36.0,22.0,120.0,,,72.0,False
195,2000.0,Ernest Grant,DT,Arkansas-Pine Bluff,316.0,5.31,29.5,24.0,98.0,8.0,5.03,77.0,False
197,2000.0,Shane Lechler,P,Texas A&M,234.0,,,,,,,74.0,True
198,2000.0,John Baker,P,North Texas,227.0,,,,,,,75.0,False
199,2001.0,Correll Buckhalter,RB,Nebraska,226.0,4.53,40.0,11.0,123.0,7.08,4.06,72.0,False
200,2001.0,Sean Brewer,TE,San Jose State,255.0,4.73,36.0,14.0,117.0,7.37,4.18,76.0,False
201,2001.0,Drew Brees,QB,Purdue,213.0,4.83,32.0,,105.0,7.09,4.21,72.0,True
202,2001.0,Derrick Blaylock,RB,Stephen F. Austin,194.0,4.36,35.5,18.0,119.0,7.05,4.09,70.0,False
203,2001.0,Eddie Berlin,WR,Northern Iowa,191.0,4.43,39.5,,122.0,6.78,4.08,71.0,False
204,2001.0,Michael Bennett,RB,Wisconsin,207.0,4.38,39.5,13.0,130.0,,,69.0,True
205,2001.0,Kevan Barlow,RB,Pittsburgh,235.0,4.56,,,,,,73.0,False
206,2001.0,Alex Bannister,WR,Eastern Kentucky,201.0,4.47,30.5,,110.0,,,77.0,True
207,2001.0,Quincy Carter,QB,Georgia,225.0,4.58,35.5,,113.0,7.12,4.12,74.0,False
208,2001.0,Robert Ferguson,WR,Texas A&M,205.0,4.48,36.5,,120.0,7.24,4.07,73.0,False
209,2001.0,Heath Evans,FB,Auburn,246.0,4.56,34.5,30.0,111.0,7.3,4.24,72.0,False
210,2001.0,Char-Ron Dorsey,OT,Florida State,348.0,5.99,,16.0,,,,78.0,False
211,2001.0,Ryan Diem,OT,Northern Illinois,338.0,5.13,34.0,,102.0,7.5,4.46,79.0,False
212,2001.0,Leonard Davis,OT,Texas,370.0,5.32,28.0,33.0,97.0,8.72,5.18,78.0,True
213,2001.0,Alge Crumpler,TE,North Carolina,266.0,4.76,34.0,22.0,112.0,7.38,4.43,74.0,True
214,2001.0,Jameel Cook,FB,Illinois,226.0,4.8,29.5,17.0,108.0,7.55,4.38,70.0,False
215,2001.0,Derek Combs,RB,Ohio State,193.0,4.42,35.0,8.0,120.0,6.96,4.07,72.0,False
216,2001.0,Kenny Clark,WR,Central Florida,225.0,4.59,35.5,,121.0,,,73.0,False
217,2001.0,Chris Chambers,WR,Wisconsin,210.0,4.33,45.0,,134.0,,4.0,72.0,True
218,2001.0,Jeff Backus,OT,Michigan,310.0,5.37,27.0,25.0,99.0,8.27,4.67,77.0,False
219,2001.0,Billy Baber,TE,Virginia,255.0,4.76,33.0,22.0,106.0,7.12,4.19,76.0,False
220,2001.0,Anthony Thomas,RB,Michigan,229.0,4.58,32.5,20.0,115.0,7.48,4.44,74.0,False
221,2001.0,LaDainian Tomlinson,RB,TCU,221.0,4.46,40.5,18.0,124.0,6.84,4.21,70.0,True
222,2001.0,Marques Tuiasosopo,QB,Washington,223.0,4.71,35.5,,115.0,7.36,4.35,73.0,False
223,2001.0,Michael Vick,QB,Virginia Tech,210.0,4.33,,,,,,72.0,True
224,2001.0,Kenyatta Walker,OT,Florida,311.0,5.17,31.5,24.0,109.0,7.7,4.6,77.0,False
225,2001.0,Reggie Wayne,WR,Miami (FL),198.0,4.45,,,,,,72.0,True
226,2001.0,Chris Weinke,QB,Florida State,226.0,5.2,,,,,,76.0,False
227,2001.0,Reggie White,RB,Oklahoma State,228.0,4.58,37.5,17.0,114.0,7.48,4.4,72.0,False
228,2001.0,Boo Williams,TE,Arkansas,237.0,4.72,35.5,,119.0,7.1,4.33,76.0,False
229,2001.0,Marcus Williams,WR,Washington State,230.0,4.56,41.0,,130.0,7.37,4.2,77.0,False
230,2001.0,Maurice Williams,OT,Michigan,304.0,5.2,,24.0,,,,77.0,False
231,2001.0,Cedrick Wilson,WR,Tennessee,179.0,4.48,38.0,,123.0,,,70.0,False
232,2001.0,David Terrell,WR,Michigan,213.0,4.43,,,,,,75.0,False
233,2001.0,Scotty Anderson,WR,Grambling State,184.0,4.57,34.5,,115.0,,,74.0,False
234,2001.0,David Allen,RB,Kansas State,194.0,4.62,31.0,15.0,111.0,,,69.0,False
235,2001.0,Marcellus Rivers,TE,Oklahoma State,247.0,4.84,32.5,7.0,113.0,7.04,4.25,76.0,False
236,2001.0,Mike Roberg,TE,Idaho,256.0,4.75,34.5,16.0,117.0,7.28,4.4,76.0,False
237,2001.0,Koren Robinson,WR,North Carolina State,211.0,4.61,,,,,,73.0,True
238,2001.0,Sage Rosenfels,QB,Iowa State,228.0,4.74,34.0,,107.0,7.07,4.29,76.0,False
239,2001.0,Marcel Shipp,RB,Massachusetts,222.0,4.71,32.5,18.0,115.0,,,71.0,False
240,2001.0,Steve Smith,WR,Utah,184.0,4.41,38.5,,121.0,7.44,4.25,69.0,True
241,2001.0,Tony Stewart,TE,Penn State,256.0,4.96,35.5,,109.0,7.3,4.4,77.0,False
242,2001.0,Marques Sullivan,OT,Illinois,338.0,5.32,30.5,28.0,98.0,8.36,4.8,77.0,False
243,2001.0,Vinny Sutherland,WR,Purdue,192.0,4.48,,,,,,69.0,False
244,2001.0,Brandon Winey,OT,LSU,301.0,5.3,,,,,,78.0,False
245,2001.0,Rod Gardner,WR,Clemson,219.0,4.48,,,,,,74.0,False
246,2001.0,Ken-Yon Rambo,WR,Ohio State,196.0,4.34,,,,,,73.0,False
247,2001.0,Snoop Minnis,WR,Florida State,171.0,4.57,37.5,,115.0,7.06,4.07,73.0,False
248,2001.0,Shad Meier,TE,Kansas State,256.0,4.85,34.0,20.0,113.0,7.14,4.15,77.0,False
250,2001.0,Mike McMahon,QB,Rutgers,207.0,4.57,37.5,,124.0,7.12,4.12,74.0,False
